,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,1851,Akira,(1988),"['Animation, Action, Drama']",8.0,175700,['Katsuhiro Ôtomo '],"['Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda']","['A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.']",$0.55M,R
1,1852,Black Mass,(2015),"['Biography, Crime, Drama']",6.9,174449,['Scott Cooper '],"['Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton']","['The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.']",$62.58M,R
2,1853,Unbreakable,(2000),"['Drama, Mystery, Sci-Fi']",7.3,403171,['M. Night Shyamalan '],"['Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark']",['A man learns something extraordinary about himself after a devastating accident.'],$95.01M,PG-13
3,1854,Thelma,(2017),"['Drama, Fantasy, Horror']",7.0,29378,['Joachim Trier '],"['Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen']","[""A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.""]",$0.15M,Not Rated
4,1855,"10,000 BC",(2008),"['Action, Adventure, Drama']",5.1,128429,['Roland Emmerich '],"['Camilla Belle, Steven Strait, Marco Khan, Cliff Curtis']","[""In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.""]",$94.78M,PG-13
5,1856,Godzilla,(2014),"['Action, Adventure, Sci-Fi']",6.4,400457,['Gareth Edwards '],"['Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe']","['The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.']",$200.68M,PG-13
6,1857,The Next Three Days,(2010),"['Action, Crime, Drama']",7.3,192620,['Paul Haggis '],"['Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie']","[""A married couple's life is turned upside down when the wife is accused of a murder.""]",$21.15M,PG-13
7,1858,Kindergarten Cop,(1990),"['Action, Comedy, Crime']",6.2,143240,['Ivan Reitman '],"['Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt']","[""A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.""]",$91.46M,PG-13
8,1859,The Disaster Artist,(2017),"['Biography, Comedy, Drama']",7.3,146433,['James Franco '],"['James Franco, Dave Franco, Ari Graynor, Seth Rogen']","['When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.']",$21.12M,R
9,1860,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,(1996),"['Comedy, Crime']",6.6,52887,['Paris Barclay '],"['Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans, Tracey Cherelle Jones']","[""A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).""]",$20.11M,R
10,1861,Megan Is Missing,(2011),"['Drama, Horror, Thriller']",4.5,11519,['Michael Goi '],"['Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer']",['Two teenage girls encounter an Internet child predator.'],NA,Not Rated
11,1862,Stepmom,(1998),"['Comedy, Drama']",6.8,64463,['Chris Columbus '],"['Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone']","[""A terminally-ill woman must deal with her ex-husband's new lover, who will be their children's stepmother.""]",$91.14M,PG-13
12,1863,Punch-Drunk Love,(2002),"['Comedy, Drama, Romance']",7.3,156319,['Paul Thomas Anderson '],"['Adam Sandler, Emily Watson, Philip Seymour Hoffman, Jason Andrews']",['A frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know that he will land in huge trouble and will also jeopardise his relationship with Lena.'],$17.84M,R
13,1864,Kajillionaire,(2020),"['Comedy, Crime, Drama']",6.4,15365,['Miranda July '],"['Richard Jenkins, Debra Winger, Evan Rachel Wood, Patricia Belcher']","[""A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.""]",NA,R
14,1865,Moonraker,(1979),"['Action, Adventure, Sci-Fi']",6.3,96790,['Lewis Gilbert '],"['Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel']","['James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.']",$70.31M,PG
15,1866,Four Brothers,(2005),"['Action, Crime, Drama']",6.8,140720,['John Singleton '],"['Mark Wahlberg, Tyrese Gibson, André 3000, Garrett Hedlund']","[""When their adoptive mother is gunned down in a store robbery the 'four brothers' investigate the murder for themselves & look for the killers, but not all is what it seems.""]",$74.49M,R
16,1867,The Twilight Saga - Breaking Dawn - Part 1,(2011),"['Adventure, Drama, Fantasy']",4.9,232593,['Bill Condon '],"['Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham']","['The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.']",$281.29M,PG-13
17,1868,Bridge of Spies,(2015),"['Drama, History, Thriller']",7.6,300616,['Steven Spielberg '],"['Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan']","['During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.']",$72.31M,PG-13
18,1869,Bee Movie,(2007),"['Animation, Adventure, Comedy']",6.1,152380,"['Directors: Simon J. Smith, Steve Hickner ']","['Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton']","[""Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.""]",$126.63M,PG
